tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	0.9999926600000001	0.14336038192361114	4.550025079607867	1.2534454999999984	0.3779527559055118	0.06717984604618614	0.11408199643493759	96.0	1333.0	158.0	1429.0	0.06049149338374291	3.2581077901920525	0.44848297326859177	0.6267281837333529
MetaScope	9	0.9999929799999999	0.14444680169464288	4.494302288610269	1.3149649199999986	0.4150197628458498	0.07614213197969544	0.1286764705882353	105.0	1274.0	148.0	1379.0	0.068762278978389	3.203892954635362	0.443193039810483	0.6574831240579553
MetaScope	8	0.99999337	0.14389084048769846	4.0911987688943325	1.1065645899999987	0.4031620553359684	0.0781010719754977	0.13085311096856958	102.0	1204.0	151.0	1306.0	0.07000686341798215	3.2011366796404945	0.4461685970639753	0.5532871722264232
MetaScope	7	0.99999449	0.14222390048273814	3.8580036418901282	1.2377190299999987	0.3902439024390244	0.08791208791208792	0.14349775784753366	96.0	996.0	150.0	1092.0	0.07729468599033816	3.201628267699928	0.4576522708401994	0.618859363379456
MetaScope	6	0.9999922000000001	0.14268096972658728	4.408436025895456	1.4541739399999996	0.4200743494423792	0.07380796864794252	0.12555555555555556	113.0	1418.0	156.0	1531.0	0.06698280972139893	3.4797666481714344	0.4744914365504082	0.7270883514678679
MetaScope	5	0.9999929299999999	0.14172201821150804	4.482665390987875	1.2658093299999988	0.4196078431372549	0.07804522246535375	0.1316113161131611	107.0	1264.0	148.0	1371.0	0.07044107965766952	3.2599262701292475	0.4513073276721767	0.6329106998035225
MetaScope	3	0.99999342	0.14377860086170635	3.8961139757097416	1.2916140199999993	0.42084942084942084	0.0865079365079365	0.1435154707044108	109.0	1151.0	150.0	1260.0	0.07730496453900709	3.233118682838761	0.45288960879414514	0.6458081659966172
MetaScope	2	0.9999941699999999	0.14018999050595238	3.86130844708762	1.1777394299999984	0.4153846153846154	0.08940397350993377	0.14713896457765668	108.0	1100.0	152.0	1208.0	0.07941176470588235	3.409005176137061	0.48036339519646226	0.5888693705114183
MetaScope	19	0.9999918	0.1607490310605159	4.07586633589284	1.5455421200000037	0.45422535211267606	0.07861060329067641	0.13402597402597402	129.0	1512.0	155.0	1641.0	0.07182628062360802	3.7254870941572658	0.5032360328136496	0.7727719100491007
MetaScope	18	0.99999291	0.14047783656785717	4.188978469191773	1.220321729999999	0.41568627450980394	0.0748587570621469	0.12687013764213048	106.0	1310.0	149.0	1416.0	0.06773162939297124	3.2643624867205507	0.44990991958216864	0.6101633331106823
MetaScope	4	0.9999935499999999	0.13877553523690475	4.520248607837827	1.08166095	0.36929460580912865	0.07074721780604133	0.11874583055370247	89.0	1169.0	152.0	1258.0	0.06312056737588652	3.2853391043331124	0.46030698300656125	0.5408303262716603
MetaScope	16	0.9999932300000001	0.15739941847817468	4.086091189840973	1.377952030000001	0.4375	0.08782287822878229	0.14628149969268592	119.0	1236.0	153.0	1355.0	0.07891246684350132	2.596444227698797	0.36003935401416415	0.6889738688463984
MetaScope	15	0.9999929399999999	0.138905754021627	4.738689883641639	1.3349082400000014	0.38524590163934425	0.06714285714285714	0.11435523114355231	94.0	1306.0	150.0	1400.0	0.06064516129032258	3.496515718050293	0.48266232811147136	0.6674541400236241
MetaScope	14	0.9999930400000001	0.1548928564156746	3.842706800212146	1.376176479999999	0.41947565543071164	0.08459214501510574	0.14079195474544312	112.0	1212.0	155.0	1324.0	0.07572684246112238	2.628403428743483	0.3656444788428151	0.6880896024174128
MetaScope	13	0.99999381	0.14346468138095245	3.9699735235451583	1.2089721299999983	0.4032258064516129	0.0831255195344971	0.13783597518952445	100.0	1103.0	148.0	1203.0	0.07401924500370097	3.4673378369156236	0.48886877680327834	0.6044906561065331
MetaScope	12	0.99999324	0.14601280520337304	4.5195640672646284	1.3792419200000003	0.3836734693877551	0.06999255398361877	0.11838790931989926	94.0	1249.0	151.0	1343.0	0.06291834002677377	3.3488307538098923	0.4649435344017556	0.6896222564898423
