rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
cellular root	0	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	8	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	7	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	6	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	5	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	4	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	3	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	2	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
cellular root	19	0.013399942178571425	0.6736659752661321	9.999999974752426e-09	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.99999988922529e-09	0.0	5.0000000123762136e-09	0.013497026808531737	7.076906767218601	9.999999974752426e-09	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.99999988922529e-09	0.0	5.0000000123762136e-09
cellular root	18	0.013399942178571425	0.6736659752661321	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.013497026808531737	7.076906767218601	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
